Material;Stack;327-384 keV;Err;565 - 659 keV;Err
None;0;16041;0.8;10579;1
Fe;1.4;14753;0.8;9801;1
Fe;1.95;14243;0.8;9640;1
Fe;2.45+2.5;12421;0.9;8469;1.1
Fe;1.5+4.5+3.9;9259;1;6781;1.2
Fe;3.35+4.5+1.95+4.25+3.9;6450;1.2;4774;1.4
Cu;1.15;14723;0.8;9681;1
Cu;2;13890;0.8;9371;1
Cu;3.95+1.15;11740;0.9;8188;1.1
Cu;3.95+2.95+2.0+1.15;8752;1.1;6546;1.2
Cu;4.0+3.95+3.95+3,45+1.5+1.15;5991;1.3;4573;1.5
Al;1;15546;0.8;10269;1
Al;1.0+0.95;15282;0.8;10237;1
Al;2.5+2.5;14668;0.8;9659;1
Al;2.5+2.5+1.0+4.0;13285;0.9;8984;1
Al;4.9+4.9+3+4+1.45;11468;0.9;7789;1.1
Pb;1.1;2372;2.1;3464;1.7
Pb;1.1+1.3;1068;3.1;1236;2.9
Pb;1.1+1.3+1.3;778.4;3.6;540.1;4.4
Pb;5;236.9;6.8;257.8;6.6
Pb;10;31.08;24.4;12.34;53.2
